"","videoid","views","likes","comments","engage_likes","engage_comments","rawscore","publishedAt","channelId","title","short_title","engagement_score"
"1","CsiKy1bfLJU",35197,1730,315,0.0491519163565077,0.00894962638861267,2.86609205802767,"2022-12-02T23:21:05Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Announcing our 2023 LCS Roster | Team Liquid Honda League of Legends","Announcing our ",1
"2","1QKFcqRHM7M",4775,218,32,0.0456544502617801,0.00670157068062827,1.90970038156625,"2022-10-14T18:18:34Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Is Hecarim BROKEN?? | Bwipo&#39;s Worlds Jungle Meta Breakdown","Is Hecarim BROK",0.806071074667316
"3","gS5NTB2I8zQ",13358,478,78,0.0357837999700554,0.00583919748465339,0.966679084738985,"2022-11-24T21:00:30Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Thank You, Santorin","Thank You, Sant",0.614853280576737
"4","sb740Ylt73k",12117,420,54,0.0346620450606586,0.0044565486506561,0.447990425663556,"2022-10-07T18:15:58Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Bjergsen and Bwipo 1v1 on Wild Rift! 👀","Bjergsen and Bw",0.509678029983885
"5","yacPWfL6BuI",65086,1845,257,0.0283471099775681,0.00394862182343361,-0.141296858527762,"2022-09-24T18:00:16Z","UCMEMMaL6Xpvoqvw3TxI5jmg","How We Made Each Other Worse | SQUAD S6E10","How We Made Eac",0.390187393931651
"6","J09hSfVtQNE",21583,387,98,0.0179307788537275,0.00454061066580179,-0.655293958191098,"2022-10-04T19:41:01Z","UCMEMMaL6Xpvoqvw3TxI5jmg","We know who&#39;s winning Worlds?! | Worlds Group Stage Tier List","We know who&#39",0.285963457635351
"7","oNAbNOnWffs",92164,2055,311,0.022297209322512,0.00337441951304197,-0.73391128697894,"2022-09-19T21:00:18Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Thank You, Hans Sama","Thank You, Hans",0.270022108019301
"8","nA36qiUm9GU",116938,3301,245,0.0282286339769793,0.00209512733243257,-0.743042211969944,"2022-11-11T20:00:13Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Thank You, Bjergsen","Thank You, Bjer",0.26817061713499
"9","NpLGCnwC_us",5636,134,16,0.0237757274662881,0.0028388928317956,-0.805584832619317,"2022-11-21T20:44:38Z","UCMEMMaL6Xpvoqvw3TxI5jmg","We tried to BREAK THE META with AD Seraphine and Malzahar","We tried to BRE",0.255488759368412
"10","cGu5VoexsFY",20386,478,44,0.0234474639458452,0.00215834396154223,-1.04576407308164,"2022-09-28T20:30:02Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Which Teams will Make it to Groups? - Ranking Worlds Play-Ins Teams","Which Teams wil",0.206787266939692
"11","G8AwEp7boO0",89778,1275,83,0.0142016975205507,0.000924502662122123,-2.06556872862776,"2022-10-21T16:53:36Z","UCMEMMaL6Xpvoqvw3TxI5jmg","Watching the CRAZIEST Worlds and Champs Queue Outplays","Watching the CR",0
